trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,eu,11,55,6,14344901.0540,176101.8114,2643839.5522,42917.8294,522.3858,7736.7003,1000,31332.00,457.835473,5.620510,84.381449,342,0.3420,13.246,15.417,0.2170,55,48,61,42.72,0,0,1000,true
real,0,space,eu,11,55,6,14319252.8930,150453.3330,2291163.2543,42917.8294,522.3855,7736.2925,1000,31332.00,457.016880,4.801906,73.125343,342,0.3420,13.246,15.417,0.3440,55,48,61,5.25,0,0,1000,true
real,0,space+time,eu,11,55,6,14328233.2562,160037.9065,2284510.5723,42917.8366,522.3856,7735.7123,1000,31332.00,457.303500,5.107810,72.913015,364,0.3640,14.869,19.891,0.3780,55,48,61,6.90,0,0,1000,true
real,0,time@SE,eu,11,55,6,14332700.5300,163737.3919,2332850.0263,42917.9565,522.3854,7736.2277,1000,31332.00,457.446078,5.225884,74.455829,344,0.3440,13.386,16.183,0.4210,55,48,61,4.36,0,0,1000,true
real,0,round-robin,eu,17,85,6,14335627.4266,166832.7560,2594916.6904,42917.8292,522.3856,7738.6558,1000,31332.00,457.539494,5.324676,82.820014,0,0.0000,0.000,0.000,0.2000,76,48,77,0.80,0,0,1000,true
real,0,space,eu,17,85,6,14285788.0159,117053.7960,1854272.6754,42917.8290,522.3851,7738.1166,1000,31332.00,455.948807,3.735918,59.181434,0,0.0000,0.000,0.000,0.6880,76,48,77,1.72,0,0,1000,true
real,0,space+time,eu,17,85,6,14279550.0407,111167.6339,1756657.5329,42917.8291,522.3854,7737.2387,1000,31332.00,455.749714,3.548054,56.065924,0,0.0000,0.000,3.949,0.7250,74,48,77,6.59,0,0,1000,true
real,0,time@SE,eu,17,85,6,14280814.8809,112043.5594,1771038.1723,42917.8290,522.3852,7737.1244,1000,31332.00,455.790083,3.576010,56.524900,0,0.0000,0.000,3.116,0.7250,76,48,79,1.52,0,0,1000,true
real,0,round-robin,eu,28,140,6,14335627.4266,166832.7560,2594916.6904,42917.8292,522.3856,7738.6558,1000,31332.00,457.539494,5.324676,82.820014,0,0.0000,0.000,0.000,0.2000,76,48,77,0.76,0,0,1000,true
real,0,space,eu,28,140,6,14237106.7471,68371.6992,1105110.8960,42917.8294,522.3854,7738.1809,1000,31332.00,454.395083,2.182168,35.270998,0,0.0000,0.000,0.000,0.8670,76,48,77,1.70,0,0,1000,true
real,0,space+time,eu,28,140,6,14229618.5053,60910.9432,1003087.3700,42917.8436,522.3854,7739.0627,1000,31332.00,454.156087,1.944049,32.014789,0,0.0000,0.000,3.532,0.8890,73,48,76,8.67,0,0,1000,true
real,0,time@SE,eu,28,140,6,14229846.1578,61153.7492,1006612.8181,42917.8434,522.3853,7738.3799,1000,31332.00,454.163352,1.951798,32.127308,0,0.0000,0.000,3.208,0.8890,76,48,79,1.79,0,0,1000,true
real,0,round-robin,eu,70,350,6,14335627.4266,166832.7560,2594916.6904,42917.8292,522.3856,7738.6558,1000,31332.00,457.539494,5.324676,82.820014,0,0.0000,0.000,0.000,0.2000,76,48,77,0.54,0,0,1000,true
real,0,space,eu,70,350,6,14189432.6398,20733.8277,267379.5021,42921.3919,525.9475,6802.5919,1000,31332.00,452.873504,0.661746,8.533752,0,0.0000,0.000,0.000,0.9910,76,48,54,1.92,0,0,1000,true
real,0,space+time,eu,70,350,6,14189511.4309,20620.8523,266619.0186,42920.8089,525.3652,6821.7854,1000,31332.00,452.876019,0.658140,8.509480,0,0.0000,0.000,2.657,0.9950,74,48,52,9.12,0,0,1000,true
real,0,time@SE,eu,70,350,6,14189512.5707,20621.9838,266625.8666,42920.8089,525.3652,6821.7625,1000,31332.00,452.876055,0.658176,8.509698,0,0.0000,0.000,2.642,0.9950,75,48,53,2.53,0,0,1000,true
real,0,round-robin,eu,11,55,12,14344901.0540,176101.8114,2643839.5522,42917.8294,522.3858,7736.7003,1000,31332.00,457.835473,5.620510,84.381449,295,0.2950,11.282,15.417,0.2170,55,48,61,3.44,0,0,1000,true
real,0,space,eu,11,55,12,14319252.8930,150453.3330,2291163.2543,42917.8294,522.3855,7736.2925,1000,31332.00,457.016880,4.801906,73.125343,295,0.2950,11.282,15.417,0.3440,55,48,61,3.11,0,0,1000,true
real,0,space+time,eu,11,55,12,14317582.9129,149073.5828,2316684.9600,42917.9552,522.3855,7736.1097,1000,31332.00,456.963581,4.757870,73.939900,337,0.3370,13.530,23.675,0.4000,55,48,60,7.22,0,0,1000,true
real,0,time@SE,eu,11,55,12,14322299.0052,153291.3259,2373074.4342,42917.9648,522.3854,7735.3937,1000,31332.00,457.114101,4.892485,75.739641,303,0.3030,11.783,18.585,0.3620,55,48,60,2.10,0,0,1000,true
real,0,round-robin,eu,17,85,12,14335627.4266,166832.7560,2594916.6904,42917.8292,522.3856,7738.6558,1000,31332.00,457.539494,5.324676,82.820014,0,0.0000,0.000,0.000,0.2000,76,48,77,0.28,0,0,1000,true
