trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,12,84,6,11712978.6748,116761.7507,2072286.6101,42477.7339,435.5173,7465.2039,90,30560.00,383.278098,3.820738,67.810426,0,0.0000,0.000,0.000,0.1444,69,34,69,27.62,0,0,90,true
real,0,space,us,12,84,6,11701728.0023,105561.5100,1821516.9947,42477.7298,435.5170,7465.1215,90,30560.00,382.909948,3.454238,59.604614,0,0.0000,0.000,0.000,0.3111,69,34,69,8.08,0,0,90,true
real,0,space+time,us,12,84,6,11700081.1599,103865.0880,1802129.9252,42477.7307,435.5173,7465.7706,90,30560.00,382.856059,3.398727,58.970220,0,0.0000,0.000,3.378,0.3111,68,34,68,18.85,0,0,90,true
real,0,time@BPAT,us,12,84,6,11700543.8002,104297.2852,1810263.5915,42477.7299,435.5171,7465.3296,90,30560.00,382.871198,3.412869,59.236374,0,0.0000,0.000,1.189,0.3111,68,34,68,5.68,0,0,90,true
real,0,time@CISO,us,12,84,6,11697661.5947,101415.0984,1894003.7316,42477.7299,435.5171,7465.3528,90,30560.00,382.776885,3.318557,61.976562,0,0.0000,0.000,1.322,0.3111,68,34,69,1.50,0,0,90,true
real,0,time@ERCO,us,12,84,6,11701478.3310,105231.5387,1978045.1260,42477.7305,435.5170,7465.3600,90,30560.00,382.901778,3.443440,64.726608,0,0.0000,0.000,1.233,0.3111,69,34,69,1.34,0,0,90,true
real,0,time@ISNE,us,12,84,6,11698126.5718,101879.9602,1905192.2507,42477.7299,435.5170,7465.3522,90,30560.00,382.792100,3.333768,62.342678,0,0.0000,0.000,0.733,0.3111,68,34,69,2.91,0,0,90,true
real,0,time@NYISO,us,12,84,6,11696399.6981,100153.1288,1868428.0379,42477.7298,435.5170,7465.1984,90,30560.00,382.735592,3.277262,61.139661,0,0.0000,0.000,0.356,0.3111,68,34,68,2.42,0,0,90,true
real,0,time@PJM,us,12,84,6,11699451.8463,103205.2317,1928464.4704,42477.7305,435.5170,7465.1989,90,30560.00,382.835466,3.377135,63.104204,0,0.0000,0.000,0.589,0.3111,68,34,69,1.31,0,0,90,true
real,0,time@FPL,us,12,84,6,11701104.2083,104857.4038,1960823.3925,42477.7305,435.5170,7465.2142,90,30560.00,382.889536,3.431198,64.163069,0,0.0000,0.000,0.711,0.3111,68,34,69,1.24,0,0,90,true
