trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,8,56,6,11747437.6867,150956.5025,2174868.9277,42576.8487,534.6610,7791.9696,1000,31514.00,372.768855,4.790141,69.012786,25,0.0250,0.037,0.639,0.1570,56,34,61,29.49,0,0,1000,true
real,0,space,us,8,56,6,11733547.2724,136688.7238,2028985.1430,42576.8434,534.6606,7791.8623,1000,31514.00,372.328085,4.337397,64.383612,25,0.0250,0.037,0.639,0.3300,56,34,61,5.90,0,0,1000,true
real,0,space+time,us,8,56,6,11726725.7329,132367.7915,2005405.5353,42576.8457,534.6608,7791.4574,1000,31514.00,372.111624,4.200285,63.635385,88,0.0880,0.254,5.023,0.3620,56,34,62,7.67,0,0,1000,true
real,0,time@BPAT,us,8,56,6,11728743.2558,132125.2458,2023612.5063,42576.8456,534.6606,7790.6337,1000,31514.00,372.175644,4.192589,64.213128,52,0.0520,0.103,2.590,0.3900,56,34,60,2.37,0,0,1000,true
real,0,round-robin,us,12,84,6,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,0.79,0,0,1000,true
real,0,space,us,12,84,6,11710298.5333,113173.2506,1745952.0370,42576.8409,534.6607,7792.3520,1000,31514.00,371.590358,3.591206,55.402425,0,0.0000,0.000,0.000,0.4830,64,34,66,2.22,0,0,1000,true
real,0,space+time,us,12,84,6,11706588.1476,111465.2292,1709094.9475,42576.8420,534.6607,7791.3115,1000,31514.00,371.472620,3.537007,54.232879,0,0.0000,0.000,4.477,0.5230,63,34,66,9.11,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11709651.6105,113059.5133,1731299.3198,42576.8102,534.6607,7791.0019,1000,31514.00,371.569830,3.587596,54.937467,0,0.0000,0.000,2.631,0.5230,64,34,65,1.85,0,0,1000,true
real,0,round-robin,us,20,140,6,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.53,0,0,1000,true
real,0,space,us,20,140,6,11684439.8198,87314.7092,1360532.2802,42576.8354,534.6607,7792.6506,1000,31514.00,370.769811,2.770664,43.172313,0,0.0000,0.000,0.000,0.6970,64,34,66,2.27,0,0,1000,true
real,0,space+time,us,20,140,6,11681243.4069,85314.6657,1321758.4292,42576.8366,534.6608,7791.9592,1000,31514.00,370.668383,2.707199,41.941944,0,0.0000,0.000,4.329,0.7390,62,34,64,11.57,0,0,1000,true
real,0,time@BPAT,us,20,140,6,11683065.3080,86126.6717,1334093.5967,42576.8104,534.6607,7791.5342,1000,31514.00,370.726195,2.732965,42.333363,0,0.0000,0.000,3.362,0.7390,64,34,64,2.09,0,0,1000,true
real,0,round-robin,us,50,350,6,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.60,0,0,1000,true
real,0,space,us,50,350,6,11643929.3074,46862.9532,615305.3325,42580.3240,538.1206,6757.8697,1000,31514.00,369.484334,1.487052,19.524825,0,0.0000,0.000,0.000,0.9610,64,34,48,2.39,0,0,1000,true
real,0,space+time,us,50,350,6,15074391.8222,45625.5657,602720.8123,54238.0470,537.1931,6693.9057,1000,31514.00,478.339526,1.447787,19.125494,0,0.0000,0.000,3.271,0.9800,62,34,46,14.36,0,0,999,false
real,0,time@BPAT,us,50,350,6,15074453.9796,45637.7296,602982.2597,54238.0470,537.1931,6693.9934,1000,31514.00,478.341498,1.448173,19.133790,0,0.0000,0.000,3.213,0.9800,62,34,46,2.16,0,0,999,false
real,0,round-robin,us,8,56,12,11747437.6867,150956.5025,2174868.9277,42576.8487,534.6610,7791.9696,1000,31514.00,372.768855,4.790141,69.012786,0,0.0000,0.000,0.639,0.1570,56,34,61,0.70,0,0,1000,true
real,0,space,us,8,56,12,11733547.2724,136688.7238,2028985.1430,42576.8434,534.6606,7791.8623,1000,31514.00,372.328085,4.337397,64.383612,0,0.0000,0.000,0.639,0.3300,56,34,61,1.43,0,0,1000,true
real,0,space+time,us,8,56,12,11732275.9606,137133.0776,1999264.0595,42576.8418,534.6608,7790.7493,1000,31514.00,372.287744,4.351497,63.440505,54,0.0540,0.143,9.772,0.3800,56,34,61,12.36,0,0,1000,true
real,0,time@BPAT,us,8,56,12,11731562.7484,134879.0360,2015475.5097,42576.8458,534.6607,7790.4502,1000,31514.00,372.265112,4.279972,63.954925,9,0.0090,0.011,4.708,0.3860,56,34,62,1.30,0,0,1000,true
real,0,round-robin,us,12,84,12,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,0.36,0,0,1000,true
real,0,space,us,12,84,12,11710298.5333,113173.2506,1745952.0370,42576.8409,534.6607,7792.3520,1000,31514.00,371.590358,3.591206,55.402425,0,0.0000,0.000,0.000,0.4830,64,34,66,2.37,0,0,1000,true
real,0,space+time,us,12,84,12,11702933.0757,107331.6674,1665991.9158,42576.8407,534.6609,7791.7939,1000,31514.00,371.356638,3.405841,52.865137,0,0.0000,0.000,9.258,0.5150,66,34,68,19.11,0,0,1000,true
real,0,time@BPAT,us,12,84,12,11706755.7132,109709.3024,1696255.1129,42576.8129,534.6607,7790.6796,1000,31514.00,371.477937,3.481288,53.825446,0,0.0000,0.000,5.390,0.5150,63,34,65,1.57,0,0,1000,true
real,0,round-robin,us,20,140,12,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.22,0,0,1000,true
real,0,space,us,20,140,12,11684439.8198,87314.7092,1360532.2802,42576.8354,534.6607,7792.6506,1000,31514.00,370.769811,2.770664,43.172313,0,0.0000,0.000,0.000,0.6970,64,34,66,1.85,0,0,1000,true
real,0,space+time,us,20,140,12,11677665.7453,81225.1178,1265509.0792,42576.8352,534.6608,7791.3091,1000,31514.00,370.554856,2.577430,40.157044,0,0.0000,0.000,9.110,0.7040,63,34,65,20.78,0,0,1000,true
real,0,time@BPAT,us,20,140,12,11679611.5510,82340.3574,1285255.9755,42576.8104,534.6607,7790.8368,1000,31514.00,370.616601,2.612818,40.783651,0,0.0000,0.000,6.960,0.7040,63,34,64,1.94,0,0,1000,true
real,0,round-robin,us,50,350,12,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.18,0,0,1000,true
real,0,space,us,50,350,12,11643929.3074,46862.9532,615305.3325,42580.3240,538.1206,6757.8697,1000,31514.00,369.484334,1.487052,19.524825,0,0.0000,0.000,0.000,0.9610,64,34,48,1.96,0,0,1000,true
real,0,space+time,us,50,350,12,18577594.2917,38301.0992,476107.5159,66174.8733,540.6995,6319.1614,1000,31514.00,589.502897,1.215368,15.107810,0,0.0000,0.000,7.351,0.9590,65,34,50,23.00,0,0,999,false
real,0,time@BPAT,us,50,350,12,18578121.5515,38383.9797,477328.5783,66174.8733,540.6994,6319.0203,1000,31514.00,589.519628,1.217998,15.146556,0,0.0000,0.000,7.086,0.9590,62,34,46,2.82,0,0,999,false
real,0,round-robin,us,8,56,24,11747437.6867,150956.5025,2174868.9277,42576.8487,534.6610,7791.9696,1000,31514.00,372.768855,4.790141,69.012786,0,0.0000,0.000,0.639,0.1570,56,34,61,0.38,0,0,1000,true
real,0,space,us,8,56,24,11733547.2724,136688.7238,2028985.1430,42576.8434,534.6606,7791.8623,1000,31514.00,372.328085,4.337397,64.383612,0,0.0000,0.000,0.639,0.3300,56,34,61,1.04,0,0,1000,true
real,0,space+time,us,8,56,24,11720539.4566,125176.8621,1974756.0992,42576.8429,534.6609,7789.8979,1000,31514.00,371.915322,3.972103,62.662820,1,0.0010,0.008,19.185,0.4280,56,34,60,18.64,0,0,1000,true
real,0,time@BPAT,us,8,56,24,11723976.1487,127272.1223,2013591.0365,42576.8420,534.6608,7789.9000,1000,31514.00,372.024375,4.038590,63.895127,0,0.0000,0.000,9.528,0.4280,56,34,62,1.35,0,0,1000,true
real,0,round-robin,us,12,84,24,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,0.17,0,0,1000,true
real,0,space,us,12,84,24,11710298.5333,113173.2506,1745952.0370,42576.8409,534.6607,7792.3520,1000,31514.00,371.590358,3.591206,55.402425,0,0.0000,0.000,0.000,0.4830,64,34,66,1.42,0,0,1000,true
real,0,space+time,us,12,84,24,11704853.7438,108637.5201,1642173.2552,42576.8347,534.6609,7791.1628,1000,31514.00,371.417584,3.447278,52.109325,0,0.0000,0.000,18.614,0.5320,65,34,67,30.01,0,0,1000,true
real,0,time@BPAT,us,12,84,24,11709342.2627,111922.7443,1696617.9418,42576.8102,534.6606,7790.3811,1000,31514.00,371.560013,3.551525,53.836960,0,0.0000,0.000,11.212,0.5320,64,34,66,1.68,0,0,1000,true
real,0,round-robin,us,20,140,24,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.24,0,0,1000,true
real,0,space,us,20,140,24,11684439.8198,87314.7092,1360532.2802,42576.8354,534.6607,7792.6506,1000,31514.00,370.769811,2.770664,43.172313,0,0.0000,0.000,0.000,0.6970,64,34,66,1.75,0,0,1000,true
real,0,space+time,us,20,140,24,11677541.3266,79918.0031,1248154.5874,42576.8355,534.6609,7790.8319,1000,31514.00,370.550908,2.535952,39.606352,0,0.0000,0.000,18.410,0.7620,60,34,63,36.22,0,0,1000,true
real,0,time@BPAT,us,20,140,24,11680541.6260,82347.9692,1283245.8795,42576.8115,534.6607,7791.2059,1000,31514.00,370.646114,2.613060,40.719867,0,0.0000,0.000,15.368,0.7620,61,34,64,2.41,0,0,1000,true
real,0,round-robin,us,50,350,24,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.18,0,0,1000,true
real,0,space,us,50,350,24,11643929.3074,46862.9532,615305.3325,42580.3240,538.1206,6757.8697,1000,31514.00,369.484334,1.487052,19.524825,0,0.0000,0.000,0.000,0.9610,64,34,48,2.76,0,0,1000,true
real,0,space+time,us,50,350,24,15115491.7199,38452.7391,463647.2537,54403.9666,538.8927,6232.1455,1000,31514.00,479.643705,1.220180,14.712422,0,0.0000,0.000,15.675,0.9740,61,34,45,43.31,0,0,999,false
real,0,time@BPAT,us,50,350,24,15115718.8215,38523.1608,464820.0385,54403.9666,538.8927,6232.3360,1000,31514.00,479.650911,1.222414,14.749636,0,0.0000,0.000,15.465,0.9740,61,34,45,5.85,0,0,999,false
real,0,round-robin,us,8,56,48,11747437.6867,150956.5025,2174868.9277,42576.8487,534.6610,7791.9696,1000,31514.00,372.768855,4.790141,69.012786,0,0.0000,0.000,0.639,0.1570,56,34,61,0.37,0,0,1000,true
real,0,space,us,8,56,48,11733547.2724,136688.7238,2028985.1430,42576.8434,534.6606,7791.8623,1000,31514.00,372.328085,4.337397,64.383612,0,0.0000,0.000,0.639,0.3300,56,34,61,1.07,0,0,1000,true
real,0,space+time,us,8,56,48,11723389.2820,127482.3658,1950438.2341,42576.8477,534.6608,7790.7258,1000,31514.00,372.005752,4.045261,61.891167,0,0.0000,0.000,37.152,0.3770,56,34,59,39.16,0,0,1000,true
real,0,time@BPAT,us,8,56,48,11727170.6573,130247.1332,2001041.3378,42576.8473,534.6606,7790.7838,1000,31514.00,372.125743,4.132993,63.496901,0,0.0000,0.000,16.596,0.3770,56,34,61,2.40,0,0,1000,true
real,0,round-robin,us,12,84,48,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,0.38,0,0,1000,true
real,0,space,us,12,84,48,11710298.5333,113173.2506,1745952.0370,42576.8409,534.6607,7792.3520,1000,31514.00,371.590358,3.591206,55.402425,0,0.0000,0.000,0.000,0.4830,64,34,66,1.48,0,0,1000,true
real,0,space+time,us,12,84,48,11701579.2614,105896.3251,1624562.5645,42576.8347,534.6609,7790.5870,1000,31514.00,371.313678,3.360295,51.550503,0,0.0000,0.000,36.690,0.5780,65,34,68,59.07,0,0,1000,true
real,0,time@BPAT,us,12,84,48,11706017.5348,108870.4493,1677844.8723,42576.8109,534.6607,7790.4816,1000,31514.00,371.454513,3.454669,53.241254,0,0.0000,0.000,24.206,0.5780,63,34,67,2.87,0,0,1000,true
real,0,round-robin,us,20,140,48,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.26,0,0,1000,true
