trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,12,84,6,11726945.5949,129589.1610,2117541.8241,42500.4773,458.3185,7470.1426,1000,30446.00,385.171963,4.256361,69.550740,0,0.0000,0.000,0.000,0.1440,74,34,76,46.99,0,0,1000,true
real,0,space,us,12,84,6,11692564.8994,95298.7610,1692247.5542,42500.4825,458.3181,7469.4232,1000,30446.00,384.042728,3.130091,55.581934,0,0.0000,0.000,0.000,0.5150,74,34,76,8.40,0,0,1000,true
real,0,space+time,us,12,84,6,11690500.1553,94421.4171,1666409.6408,42500.4812,458.3182,7469.8080,1000,30446.00,383.974911,3.101275,54.733286,0,0.0000,0.000,4.525,0.5390,71,34,75,14.24,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11692883.0853,95538.2587,1679268.9429,42500.4750,458.3181,7468.8383,1000,30446.00,384.053179,3.137958,55.155651,0,0.0000,0.000,2.700,0.5390,70,34,73,4.57,0,0,1000,true
real,0,time@CISO,us,12,84,6,11704441.8968,108464.9771,1794158.4216,42500.4673,458.3181,7468.2876,1000,30446.00,384.432829,3.562536,58.929200,0,0.0000,0.000,2.633,0.5050,73,34,75,2.24,0,0,1000,true
real,0,time@ERCO,us,12,84,6,11717101.5921,120891.4176,1882340.2333,42500.4664,458.3181,7469.0254,1000,30446.00,384.848637,3.970683,61.825535,0,0.0000,0.000,2.700,0.5550,74,34,75,2.00,0,0,1000,true
real,0,time@ISNE,us,12,84,6,11706755.6947,110547.8408,1827192.0821,42500.4753,458.3182,7468.6131,1000,30446.00,384.508825,3.630948,60.014192,0,0.0000,0.000,2.645,0.5660,74,34,75,2.14,0,0,1000,true
real,0,time@NYISO,us,12,84,6,11697294.9350,101504.4459,1734767.9455,42500.4735,458.3181,7468.5354,1000,30446.00,384.198086,3.333917,56.978518,0,0.0000,0.000,2.655,0.5500,74,34,75,1.71,0,0,1000,true
real,0,time@PJM,us,12,84,6,11712587.5138,116669.6454,1864216.4975,42500.4664,458.3181,7468.6506,1000,30446.00,384.700372,3.832019,61.230260,0,0.0000,0.000,2.719,0.5420,70,34,73,1.88,0,0,1000,true
real,0,time@FPL,us,12,84,6,11713260.1982,117200.0672,1893809.0615,42500.4751,458.3181,7468.3783,1000,30446.00,384.722466,3.849441,62.202229,0,0.0000,0.000,2.758,0.5640,74,34,75,1.89,0,0,1000,true
