trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,4320,round-robin,us,12,84,6,13270458.7381,148676.6795,2348431.8040,42564.5324,522.3857,7738.5313,1000,31332.00,423.543302,4.745202,74.953141,0,0.0000,0.000,0.000,0.1440,76,34,77,55.62,0,0,1000,true
real,4320,space,us,12,84,6,13248540.0803,126763.6372,2006525.7195,42564.5337,522.3852,7738.1552,1000,31332.00,422.843741,4.045820,64.040780,0,0.0000,0.000,0.000,0.5310,76,34,77,14.63,0,0,1000,true
real,4320,space+time,us,12,84,6,13246901.6962,126301.6474,1976668.8963,42564.5430,522.3853,7737.2732,1000,31332.00,422.791450,4.031075,63.087862,0,0.0000,0.000,4.237,0.5970,71,34,73,14.55,0,0,1000,true
real,4320,time@BPAT,us,12,84,6,13248368.1681,127144.6702,1993228.3270,42564.5336,522.3852,7736.7155,1000,31332.00,422.838254,4.057981,63.616377,0,0.0000,0.000,2.915,0.5970,71,34,73,6.21,0,0,1000,true
real,4320,time@CISO,us,12,84,6,13257106.0628,136119.2013,2052880.1698,42564.5341,522.3851,7735.7892,1000,31332.00,423.117135,4.344415,65.520240,0,0.0000,0.000,2.873,0.5790,73,34,75,4.40,0,0,1000,true
real,4320,time@ERCO,us,12,84,6,13271038.9587,150583.1173,2248787.1292,42564.5335,522.3851,7736.7726,1000,31332.00,423.561820,4.806049,71.772856,0,0.0000,0.000,2.796,0.5970,74,34,76,2.36,0,0,1000,true
real,4320,time@ISNE,us,12,84,6,13266983.9145,145853.5074,2208699.9034,42564.5341,522.3851,7736.4942,1000,31332.00,423.432399,4.655097,70.493422,0,0.0000,0.000,2.906,0.6010,74,34,76,3.04,0,0,1000,true
real,4320,time@NYISO,us,12,84,6,13262505.2905,141915.4121,2143039.3081,42564.5335,522.3851,7736.8339,1000,31332.00,423.289458,4.529408,68.397782,0,0.0000,0.000,2.722,0.5950,76,34,76,2.56,0,0,1000,true
real,4320,time@PJM,us,12,84,6,13273120.7499,151850.5371,2267609.6646,42564.5353,522.3851,7736.5633,1000,31332.00,423.628263,4.846500,72.373601,0,0.0000,0.000,2.668,0.5880,76,34,76,2.63,0,0,1000,true
real,4320,time@FPL,us,12,84,6,13274042.2406,152939.3782,2277266.3597,42564.5353,522.3852,7736.3946,1000,31332.00,423.657674,4.881252,72.681806,0,0.0000,0.000,2.647,0.5890,74,34,76,3.22,0,0,1000,true
real,4320,round-robin,us,50,350,6,13278078.4562,156361.3223,2305810.1603,42564.5341,522.3856,7738.6977,1000,31332.00,423.786495,4.990467,73.592818,0,0.0000,0.000,0.000,0.1430,76,34,77,0.70,0,0,1000,true
